Text,Date,Favorites,Retweets,Tweet ID
Learn more about my vote on the #TaxCutsAndJobsAct and how it will affect #Nevadans should it be signed into law: http://bit.ly/2zLeNs7 ,2017-11-16 20:59:15,3,4,931265432711057408
Just released another update on the #TaxCutsandJobsAct focusing on the medical expense deduction. Learn more here: http://bit.ly/2iULjxR ,2017-11-14 22:30:51,4,5,930563705330372608
ICYMI: Here is a great example of the kind of assistance my #Reno office provides to #NV02 each day. Learn more here http://bit.ly/2izVwzA ,2017-11-06 20:11:15,6,6,927629474165862401
Now seeking college students & recent graduates for Spring 2018 internships in my Washington office. More info here: http://bit.ly/2zZ7Y2W pic.twitter.com/GUnmjGNoDP,2017-11-01 20:25:35,13,11,925821140328701955
Reminding interested students that the deadline to submit Service Academy applications is OCT 31. More info here: http://bit.ly/2inHy7x pic.twitter.com/B7ZrKwroLL,2017-10-19 18:47:31,3,3,921085419755798528
Joining @WayneRoot on @790TalkNOW at 7:30 PM ET (4:30 PM PT) to discuss my visit to NV following last week’s tragedyhttp://player.listenlive.co/40391 ,2017-10-10 23:21:12,3,2,917892801328754688
Joined @FoxNews’s @BillHemmer today to discuss my trip to #LasVegas with @POTUS yesterday. Full interview here: http://bit.ly/2xW0Jce ,2017-10-05 15:34:04,4,3,915963304459333634
Full statement on the passing of Don Carano: http://bit.ly/2xi550c . My deepest condolences are with his family during this difficult time.,2017-10-04 21:59:46,13,3,915697983567618050
ICYMI – here are my full remarks from Tuesday on the tragedy in #LasVegas: http://bit.ly/2xUNSa8  #NevadaStrong,2017-10-04 21:48:28,4,2,915695139716202496
"Joined @POTUS in #LasVegas today to visit victims, first responders, & #LVPD. Encouraged by the outpouring of support by the community.pic.twitter.com/6sWbmf85yG",2017-10-04 21:29:56,22,5,915690475394396160
Unfathomable evil. My heart goes out to the victims & families of this terrible tragedy in #LasVegas: http://bit.ly/2xSo1RM ,2017-10-02 14:26:12,27,10,914859062625542144
"Joining @WayneRoot live at 6:30 PM ET (3:30 PM PT) on @790TalkNOW to discuss #healthcare, #DACA, and #taxreform: http://player.listenlive.co/40391 ",2017-09-27 22:05:13,1,1,913162640205238272
"58 years ago on this week in #NevadaHistory, #Bonanza premiered on @NBC. Lasting 14 seasons, it’s the network’s longest-running #western.pic.twitter.com/bAZFkuyAIr",2017-09-13 14:10:11,13,7,907969664306872320
Sharing highlights from the August district work period today. Thx to those who took time to meet with my staff & I http://bit.ly/2x9V2ca pic.twitter.com/A0zDArO6Fj,2017-08-31 21:04:26,2,4,903362869613486081
"For those unable to attend Tuesday’s #veterans town hall meeting, and in need of assistance, contact my #Reno office. We’re happy to help.pic.twitter.com/qT3RRRlZRk",2017-08-31 20:52:03,5,1,903359754894024704
In #Minden for our vet town hall @ 10 AM PT at the Old Court House. Here until noon - encouraging all vets in the area to come join me.,2017-08-29 16:49:51,7,6,902574025427345408
Tune in live around 7:35 AM PT (10:35 AM ET) I'll be joining @MSNBC's @HallieJackson from #CD2 to discuss the issues important to Nevadans.,2017-08-23 14:12:02,6,7,900359981144219648
Currently seeking highly motivated college students to intern in my Washington office for Fall 2017. More info here: http://bit.ly/2uD3MGM pic.twitter.com/VJJF1PknhV,2017-07-20 15:56:18,5,3,888065035926482948
Heading over to @HouseAppropsGOP full Committee markup of the FY18 #Homeland & #Interior Bills. Tune in at 11 AM ET: http://bit.ly/2tYvmxp ,2017-07-18 14:27:37,7,0,887317941347385344
