Text,Date,Favorites,Retweets,Tweet ID
Reports indicate George Papadopoulos informed Stephen Miller and other Trump campaign officials about Russian offers of assistance. So why is he still in the White House with a security clearance and access to classified information? We're seeking answers.https://twitter.com/businessinsider/status/936255467885682688 …,2017-11-30 23:20:53,1724,749,936374504263225346
"Need health insurance for 2018? You still have time to enroll! Make sure to check out @CoveredCA and find a health care plan that works for you. The January 31, 2018 deadline will be here before you know it so make sure you #GetCovered with #CoveredCA.pic.twitter.com/PvT3UOKjje",2017-11-30 22:12:45,61,50,936357359332577280
"We're still accepting applications for our Spring 2018 internship program in our Los Angeles office! Interested #CA33 students must apply by this Friday, December 1 and can visit our website for more details: http://bit.ly/2APoHpK pic.twitter.com/ewJsLVw10V",2017-11-29 23:30:08,60,33,936014445796610053
Congress must be a zero-tolerance place for harassment and discrimination. Proud to cosponsor H.Res. 630 and support its passage in the House today. Together we must do more to stop sexual harassment and other forms of discrimination whenever and wherever it may occur.pic.twitter.com/aGnCryhERq,2017-11-29 20:50:50,217,57,935974353581338635
"Justice shouldn't be bought & paid for in the U.S. That's why Congress must pass HR 1437, the No Money Bail Act, to eliminate the use of money bail & HR 4019, the Pretrial Integrity and Safety Act, to encourage states to replace their existing systems w/ pretrial risk assessment.",2017-11-29 20:19:35,54,27,935966490075025409
"Locking up Americans before they have their day in court simply because they are poor is un-American. Moving to a system where bail decisions are based on flight and safety risks would restore justice to our criminal justice system, keep us safer, and save taxpayer dollars.https://twitter.com/DailyBreezeNews/status/935731261364195329 …",2017-11-29 20:03:46,166,87,935962510330613760
"What’s on the chopping block if the #GOPTaxScam passes? Medicare, Medicaid, Social Security, and other vital programs for millions of Americans. Democrats want tax reform that puts the middle class first and spurs economic growth - Americans deserve #ABetterDeal.pic.twitter.com/YwYbVBPiJ1",2017-11-29 16:54:56,193,162,935914987633209344
Deeply concerned with reports of the @FBI's failure to notify U.S. govt officials that they were targets of Russian hacking attempts - this is unacceptable. Sent letter to FBI Director Wray seeking answers & requested a briefing for Members of Congress: http://bit.ly/2jsIDaO pic.twitter.com/EDmhJWm86a,2017-11-28 17:24:57,417,209,935560154807963648
"Honored to have co-authored H.R. 5936, legislation to support the West LA VA campus revitalization project. Joined @UCLA & @DeptVetAffairs today to celebrate the opening of the new Veteran Family Wellness Center & Veteran Legal Clinic on the VA West LA Medical Center campus.pic.twitter.com/KUVBqsKsHF",2017-11-27 23:56:13,84,27,935296232989306880
Time is running out to pass the #DreamAct before the end of the year. Kicking the can down the road until next year is not an option. GOP leadership must bring a bill to the floor for a vote immediately before Members go home for the holidays. #ProtectDreamers,2017-11-27 22:00:11,495,252,935267034002329602
We need to know what's being done to mitigate civilian casualties during Operation Inherent Resolve. Sent letter to Sec. Mattis urging DoD to take action following @nytimes report of Pentagon underreporting civilian casualties from airstrikes against ISIS: http://bit.ly/2hXTZ6s pic.twitter.com/5hLFjAScSl,2017-11-27 20:26:56,75,45,935243565109833729
"This @nytimes investigation suggests the coalition is not properly executing U.S. policy of limiting civilian causalities & accurately reporting them. This not only may violate the Law of Armed Conflict, it may also help ISIS recruit & make cooperation w/ partners more difficult.https://twitter.com/NYTmag/status/931212833592881154 …",2017-11-27 19:50:59,205,154,935234517492817920
Wishing everyone a safe and happy Thanksgiving!pic.twitter.com/0odFnSFA1s,2017-11-23 20:01:24,424,66,933787587671678976
"As you and your family prepare for #Thanksgiving, remember the @USDA Meat & Poultry Hotline will be open from 8AM - 2PM ET Thanksgiving day! Call them for on the spot #TurkeyDayTips at 1-888-MPHotline. #FoodSafetypic.twitter.com/7QIIvhgPlM",2017-11-22 20:01:35,68,25,933425247088463872
"Last week, @HouseGOP voted to raise taxes on 36 million middle class families in order to hand deficit-exploding giveaways to the wealthy & corporations. As Members head home for Thanksgiving to face their constituents, here's a reminder of how the #GOPTaxScam hurts Californians.pic.twitter.com/pmHyynsyoh",2017-11-21 22:00:38,264,204,933092817856905216
#HaitianTPS holders have been living and working in the United States for an average of 13 years. Trump is giving them 18 months to leave their families and home. This is cruel. #SaveTPSpic.twitter.com/BTJTaUikld,2017-11-21 20:28:42,123,84,933069680268447745
"Our current money bail system disproportionately affects the poor, is expensive, and doesn't make Americans safer. Let's fix this & pass H.R. 1437, the No Money Bail Act, & H.R. 4019, the Pretrial Integrity & Safety Act. Both bills would move us away from unjust money bail systemhttps://twitter.com/latimesopinion/status/931207832757854208 …",2017-11-20 21:58:29,186,69,932729887588278273
"Agree w/ @johnlegend. America should never be a nation where freedom is based on income. Proud to introduce H.R. 4019, the Pretrial Integrity & Safety Act, a bipartisan bill to move us away from a money bail system. Read more about the bill here: http://bit.ly/2hAxu75 .https://twitter.com/johnlegend/status/891026842911744002 …",2017-11-20 20:26:37,257,123,932706769197035520
Today we observe #TransgenderDayofRemembrance and reflect upon the violence taken against the #transgender community and remember all of those who have been killed as a result. #TDOR,2017-11-20 17:59:22,619,204,932669713745960960
We agree! That's why Congress must pass @RepTedLieu /@SenMarkey bill to restrict @POTUS from launching a nuclear first strike without approval from Congress. Read more about H.R. 669 & S. 200 here: http://bit.ly/2yMXe6U https://twitter.com/ezraklein/status/931544537713008640 …,2017-11-17 19:43:43,276,143,931608811831529472
Many thanks to the people who worked behind the scenes to make the columbarium groundbreaking at the LA National Cemetery in #CA33 a reality. Veterans and their families will now have a final resting place close to their homes to remember family members who served our nation.pic.twitter.com/FtH4uZc0f8,2017-11-17 18:59:41,75,17,931597729603751943
