Text,Date,Favorites,Retweets,Tweet ID
"Happy 227th Birthday to the US Coast Guard, founded in 1790 by Alexander Hamilton. #SemperParatus",2017-08-04 19:31:49,45,9,893555089134190592
I'm cosponsoring PCHETA for the 5M+ Americans living w/Alzheimer's. We must support those facing this disease. #ENDALZ #PCHETA,2017-06-21 19:21:29,38,10,877607422201917440
My statement on Obamacare repeal: http://bridenstine.house.gov/blog/?postid=835 …,2017-03-22 21:55:35,32,19,844668909634686976
Yes!,2017-03-10 14:55:25,3,3,840214513911754752
Just voted to block an Obama reg that would've opened backdoor funding for abortions with taxpayer dollars. #ProLife http://bridenstine.house.gov/blog/?postid=808 …,2017-02-16 22:36:04,198,71,832357909208113153
Yesterday I spoke at the 20th Annual Commercial Space Transportation Conference. Here are my remarks #CST2017https://youtu.be/vAlRSE6Qtr4 ,2017-02-09 16:03:59,45,27,829722523579330561
Unborn children should be welcomed in life and protected by law. I'm proud to vote to ban taxpayer funded abortions. http://bridenstine.house.gov/blog/?postid=798 …,2017-01-24 22:25:20,1273,394,824020285837996037
"As #EPA Admin, @AGScottPruitt will bring a rational, constitutional, and federalist perspective to environmental stewardship. #confirmpruitt",2017-01-18 17:48:49,45,25,821776372737642497
Gene Cernan: Navy pilot. Astronaut. Engineer. Last man on the Moon and advocate of our return. A gentleman and hero. He will be missed.,2017-01-16 21:05:00,58,21,821100964992217088
It’s time for Republicans to deliver on their promises to fully repeal Obamacare. http://bridenstine.house.gov/blog/?postid=793 …,2017-01-13 21:06:39,55,21,820014219861118977
The Weather Research and Forecasting Innovation Act gets us closer to a day when we have zero deaths from tornadoes.https://www.youtube.com/watch?v=bWvm6IeBZns …,2017-01-10 01:11:00,18,7,818626160779268098
Lucas-Bridenstine Weather Forecasting Bill Passed in the House http://bridenstine.house.gov/blog/?postid=784 …pic.twitter.com/x0G624o0kA,2017-01-10 00:39:22,13,8,818618199117885445
U.S. foreign aid to the U.N. member states that censured #Israel should be cut and re-appropriated for Israeli missile defense.,2016-12-24 20:22:27,92,51,812755337438695424
"#OTD in 1958, Eisenhower responded to Sputnik with a Christmas message from space: Peace on earth, good will to men. http://spacecoastdaily.com/2013/12/u-s-scores-with-launch-on-dec-18-1958/ …pic.twitter.com/9s6Pady7Xq",2016-12-19 22:26:19,23,11,810974570614296576
A true American hero. Godspeed John Glenn.http://www.foxnews.com/us/2016/12/08/former-astronaut-and-us-senator-john-glenn-dies-at-95.html …,2016-12-08 22:18:22,34,13,806986304508624897
"""All who value the rule of law, transparency and our Constitution should oppose this upcoming dangerous lame duck.""http://www.cincinnati.com/story/opinion/contributors/2016/10/28/massie-lame-duck-session-dangerous/92868960/ …",2016-11-04 18:29:24,35,41,794607492709961730
Looking forward to it!,2016-10-27 19:31:17,6,3,791723966121537536
"Given the stakes of this election, if Paul Ryan isn't for Trump, then I'm not for Paul Ryan.",2016-10-12 14:01:56,5381,3793,786205264890384385
5 reasons I'm voting no on the Continuing Resolution that funds Obama’s entire liberal agenda. #tcotpic.twitter.com/e8WIhCa05F,2016-09-29 02:12:43,300,370,781315742759325696
The Continuing Resolution is a complete capitulation to President Obama's liberal agenda. I will be voting no. #tcotpic.twitter.com/f24qTBr1EI,2016-09-28 22:12:49,223,180,781255366877118464
Congrats to @SpireGlobal and #GeoOptics for earning contracts for commercial satellite weather data.http://bridenstine.house.gov/news/documentsingle.aspx?DocumentID=751 …,2016-09-16 13:56:47,20,7,776781881916395520
.@GeorgeWill: Congress should impeach the IRS commissioner — or risk becoming obsoletehttps://www.washingtonpost.com/opinions/congress-should-impeach-the-irs-commissioner--or-risk-becoming-obsolete/2016/09/09/bae91306-75ee-11e6-8149-b8d05321db62_story.html?postshare=9781473714336072&tid=ss_tw …,2016-09-14 02:14:02,89,74,775880252828491776
A GAO report found Koskinen did nothing to ensure the IRS stopped targeting Americans based on political views. He should be impeached.,2016-09-14 01:14:04,81,76,775865164277047297
No taxpayer would get away treating an #IRS audit in the same way IRS officials have treated the congressional investigation.,2016-09-14 00:13:03,52,32,775849808858783744
IRS Commissioner Koskinen stonewalled Congress’ investigation and provided false testimony under oath. He should be impeached.,2016-09-13 23:30:16,130,102,775839040041955328
The case for impeaching the #IRS Commissionerhttp://www.foxnews.com/opinion/2016/06/01/reps-jordan-desantis-case-for-impeaching-irs-commissioner.html …,2016-09-13 22:35:07,36,35,775825160888684545
Congrats @MoonEx for being first to receive approval to go to the Moon & extend private enterprise beyond Earth!http://www.theverge.com/2016/8/3/12361256/moon-express-private-mission-spaceflight-us-government-approved …,2016-08-03 13:33:30,18,10,760830958090219520
"I agree with @CongHuelskamp, Congress must impeach IRS Commissioner Koskinen.http://www.breitbart.com/big-government/2016/07/27/congress-must-impeach-irs-commissioner/ …",2016-07-27 17:18:07,40,27,758350767950557184
I'm cosponsoring the Hope for Alzheimer's Act for the 5m+ Americans living w/ Alzheimer's. We must support those facing this disease #ENDALZ,2016-06-20 14:51:06,56,25,744905419911401472
I had the honor of working with Patti Grace Smith to advance commercial space issues. She will be greatly missed.http://spacenews.com/patricia-grace-smith-former-head-of-faa-space-office-passes-away/ …,2016-06-07 14:17:39,13,6,740185958037917696
Pleased to announce my #NDAA amendment to speed up DOE decisions on approving LNG exports was adopted. http://bridenstine.house.gov/blog/?postid=716 …,2016-04-27 18:56:59,15,5,725398352821653504
@Pat_DefDaily Thanks for the question.  I've made it easier to find on the website.,2016-04-13 22:04:38,5,1,720372147059687424
@Pat_DefDaily http://spacerenaissanceact.com/wp-content/uploads/2016/03/American-Space-Renaissance-Act.pdf …,2016-04-13 22:02:19,3,1,720371565964054528
I'm excited to announce the American Space Renaissance Act today at the 32nd #SpaceSymposium! #32SS @SpaceFoundation,2016-04-12 16:12:47,34,17,719921212483186688
Congrats @BigelowSpace! BEAM has made it to the ISS - this represents the start of privatization of human habitats.http://observer.com/2016/04/beam-us-up-bigelow-aerospace-president-talks-mars-mission-habitat-space-radiation/ …,2016-04-10 15:44:10,18,9,719189237099155456
Congrats @SpaceX on landing the Falcon 9 first stage and taking a historic step toward reusability!,2016-04-08 21:07:25,29,10,718545808077926400
Today is National #MedalOfHonorDay. Let’s pause for a moment and remember America's bravest heroes.pic.twitter.com/1m37dFpCYn,2016-03-25 22:01:14,79,54,713485922113875968
Congratulations to my friend @dreverettpiper on receiving the Jean Kirkpatrick Award for Academic Freedom at #CPAC.,2016-03-09 15:56:43,22,7,707595981773271040
Obama wants to spend half-a-billion to violate a law he signed in December and bring terrorists into the U.S. #GITMOhttp://www.nationalreview.com/article/396298/moral-case-keeping-guantanamo-open-jim-bridenstine …,2016-02-23 15:30:10,21,37,702153482900520961
"#Space is a new frontier, and so are the laws governing ithttps://www.washingtonpost.com/news/in-theory/wp/2016/02/04/space-is-a-new-frontier-so-are-the-laws-governing-it/ …",2016-02-05 16:49:59,17,14,695650587468238848
@ppl4world Glad DoD is open to augmenting its weather data. More and better data. More resilience.http://spacenews.com/u-s-air-force-taking-closer-look-at-buying-commercial-weather-data/ …,2016-01-26 17:47:08,8,4,692041094008299520
Glad DoD open to augmenting its weather data. More and better data. More resilience. @SpireGlobal http://spacenews.com/u-s-air-force-taking-closer-look-at-buying-commercial-weather-data/ …,2016-01-26 17:40:44,12,12,692039480887398400
"Congratulations to @blueorigin for ushering in a new era of space flight.  Reducing costs, increasing access, changing the world. Thank you!",2016-01-23 17:42:25,14,4,690952739795304448
$150 billion ransom paid to release 4 Americans. Expect more hostages to be taken by terrorist regimes.,2016-01-16 23:37:39,43,49,688505425356914688
Obama's response to Iran's detainment of 10 U.S. sailors: $150 billion sanctions-relief payment.  My thoughts: http://bridenstine.house.gov/blog/?postid=643 … #tcot,2016-01-15 00:30:42,15,15,687793998950432769
Obama wants the government to fund elections.  Corruption. #SOTU,2016-01-13 03:04:35,42,36,687107949077094402
Honest elections are essential; we must zealously guard against voter fraud. #SOTU,2016-01-13 03:02:22,30,27,687107391993810945
Are Castro's political prisoners languishing in Cuban prisons enjoying Obama's restoration of diplomatic relations? #SOTU,2016-01-13 02:52:49,21,23,687104989270011904
"Mr. President, you don't need more war authority. You have what you need, use it! #SOTU",2016-01-13 02:50:27,20,9,687104392433111041
The President has authority to use force against ISIS.  He's attempting to pass the buck to Congress. #SOTU,2016-01-13 02:47:58,60,55,687103766882041857
The President still refuses to say radical Islamic terrorists. #SOTU,2016-01-13 02:45:56,41,26,687103257081188353
Nearly all new U.S. oil production has come from non-federal lands. This Administration has stood in the way. #SOTU,2016-01-13 02:38:35,39,54,687101403756535808
Electricity price increases hit the poor 3x as hard as middle income Americans. Obama's war on coal is a war on the poor and jobs.  #SOTU,2016-01-13 02:36:46,31,31,687100950398562305
President's new economy:  MORE centralized control. #SOTU,2016-01-13 02:29:31,10,7,687099125599461377
"I thought premiums would go down by $2,500 for a family of four? #SOTU",2016-01-13 02:28:53,27,20,687098962692681728
The government cannot give anything to anyone without taking it from someone else. #SOTU,2016-01-13 02:25:21,52,46,687098075039531009
"Somebody must pay for ""no cost"" college. Who?  #SOTU",2016-01-13 02:24:36,27,17,687097884983037954
How to encourage innovation? Reduce punitive taxes and government regulations that discourage entrepreneurs. #SOTU,2016-01-13 02:23:27,11,5,687097596905664513
"Fair shot at opportunity demands free markets, limited government and the rule of law. #SOTU",2016-01-13 02:20:34,13,12,687096870460502020
"Undermining our healthcare system, coal industry and marriage is progress? #SOTU",2016-01-13 02:18:08,9,5,687096259799330816
"Obama thanks Republicans for Omnibus that funded Planned Parenthood, Obamacare, executive amnesty and the Syrian refugee program.  #SOTU",2016-01-13 02:12:05,9,13,687094737438961664
No one asked about whether a Social Security Admin. bureaucrat should decide who loses their constitutional rights? #GunsInAmerica,2016-01-08 02:20:36,60,57,685284941240778752
Obama: Congress is blocking us from spending taxpayer funds on a study to undermine the 2nd Amendment.  YES WE ARE. #GunsInAmerica,2016-01-08 02:13:58,45,43,685283269701574656
Nothing promotes gun sales like President Obama talking about gun control. #GunsInAmerica,2016-01-08 02:02:21,43,31,685280346309447680
"President Obama: ""Enforce the laws already on the books.""  How about the border fence and immigration law? #GunsInAmerica",2016-01-08 01:55:49,136,93,685278702637195264
I agree with President Obama:  A lot of Americans don't trust the federal government. #GunsInAmerica,2016-01-08 01:53:14,27,20,685278054243905536
Somebody should ask how many GITMO terrorists the President released this week and how that makes us safer. #GunsInAmerica,2016-01-08 01:46:32,79,102,685276369639456768
Norway and Gun Control http://www.nationalreview.com/article/272787/norway-and-gun-control-charles-c-w-cooke … #GunsInAmerica,2016-01-08 01:44:00,8,16,685275731975225344
Norway was the site of the world's largest mass killing by a lone gunman. They have very strict gun laws. #GunsInAmerica,2016-01-08 01:41:28,19,25,685275093023375360
"""Case by case evaluation"" means subjective choice of who needs a license. Corruption. #GunsInAmerica",2016-01-08 01:36:22,28,30,685273808295444480
There is no gun show loophole. A licensed dealer must do a background check wherever he/she sells. #GunsInAmerica,2016-01-08 01:33:40,105,130,685273128352616448
"Mr. President, the gun show loop hole does not exist.  All licensed dealers must conduct background checks. #GunsInAmerica",2016-01-08 01:30:48,64,79,685272408937238528
Gun ownership is at an all time high and violent crime has decreased. #GunsInAmerica,2016-01-08 01:20:47,48,48,685269885463609344
Fact: The President’s gun control executive actions would do nothing to stop mass shootings. #GunsInAmerica,2016-01-08 01:16:53,21,20,685268906827620352
Only way to stop executive gun control is to use the power of the purse.  Republicans took that off the table with the Omnibus. #tcot #2A,2016-01-05 22:57:47,151,181,684509124231598080
