Text,Date,Favorites,Retweets,Tweet ID
"11 months in, it's still unfathomable @POTUS repeatedly gives attention & political space to right-wing extremists here at home & abroad. Like most days, his re-tweets today are beneath the dignity of his office & do not represent our country or its valueshttps://www.nytimes.com/2017/11/29/us/politics/trump-anti-muslim-videos-jayda-fransen.html …",2017-11-29 23:15:00,187,60,936010636206764033
"Almost 11 months in, it's still unfathomable that @POTUS repeatedly gives attention and political space to right-wing extremists here at home and abroad. His re-tweets today, like most days, are beneath the dignity of his office and do not represent our country or its values.https://twitter.com/nytimes/status/935860016724217856 …",2017-11-29 22:14:59,356,109,935995531951779841
"I greatly respect the actions & words of PM @JustinTrudeau to disavow Canadian government discrimination of the LGBT community. I'll continue to push my bill, the LOVE Act of 2017, in the U.S. Senate to address our own nation's past and build a better future for all.https://twitter.com/justintrudeau/status/935612383468367872 …",2017-11-29 00:38:46,188,40,935669326853623809
"Let's not forget Republicans' #GOPTaxScam includes upending #healthcare by repealing the ACA's mandate. So if this plan passes, Republicans will have succeeded in hiking taxes for millions of middle-income families & raising insurance premiums all in the same bill.https://twitter.com/politico/status/935599593231921153 …",2017-11-28 22:00:31,123,84,935629503711399938
"Middle-income families. Graduate students. People with medical conditions. Senior citizens. They all have something in common: they will all be adversely affected, many losing key tax deductions, if @SenateGOP's #TaxReformScam passes.pic.twitter.com/zZKXdACpBe",2017-11-28 21:46:09,136,105,935625886359085056
"If you're still wondering who Republicans' #TaxReform plan is for, remember: it makes tax breaks for corporations permanent, but sunsets cuts for middle-income families. In 10 years, working families will see billions in additional hikes while corporations will still be protected",2017-11-27 23:14:34,138,76,935285750882553858
".@SenateGOP's tax plan overwhelmingly benefits big corporations and the very wealthy, blowing a $1.5 trillion hole in our debt in the process. And who's going to pay for that? Our children. These children. #GOPTaxScampic.twitter.com/QiL0BbKyWr",2017-11-27 23:05:09,385,289,935283380945674242
"Republicans' tax plan would spell a tax increase for nearly 800,000 middle class and working families in Maryland. That isn't right, and now more than ever, we need your help to stop this unfair legislation. #TaxReform",2017-11-27 22:54:33,258,133,935280712466485249
"I'll be joining my colleagues at 5 PM to discuss @SenateGOP's #TaxReform plan and how, if it passes, low- and middle-income families will be affected. Join us live here: http://goo.gl/TpWKpo pic.twitter.com/xD8V5OLoTz",2017-11-27 21:12:07,19,15,935254933988937728
"#SmallBizSat is an opportunity to support the small, local businesses that are the heart of Maryland's economy. I encourage everyone to #ShopSmall today, and throughout this holiday season.pic.twitter.com/1RZ8NhtD4k",2017-11-25 18:17:14,51,18,934486147522318343
"Small businesses support nearly half of all jobs in this country. So let's support them. #ShopSmall and #DineSmall today, and help keep the backbone of our economy strong. #SmallBusinessSaturday",2017-11-25 18:00:00,103,41,934481813866721281
"Have a last-minute question about preparing, roasting or storing your turkey? @USDA is here to help. #HappyThanksgivingpic.twitter.com/405L7dZhZ0",2017-11-23 17:00:00,16,6,933741936661348352
A happy #Thanksgiving starts with a safe one. These turkey tips from @USDAFoodSafety have got you covered.pic.twitter.com/E2cZ7UFHTx,2017-11-23 16:30:00,23,6,933734388810092545
"This year, and every year, I'm thankful for the great honor of representing my home state in the U.S. Senate. Thank you, Maryland. My family and I are wishing you all a happy & fulfilling #Thanksgivingpic.twitter.com/6iBdu5r0Hc",2017-11-23 16:00:04,133,18,933726854158209025
"This is bowing to corporate interests, once again, which seems to be emblematic of this Trump era. I have long believed that ISPs should not be permitted to charge more or throttle back speeds, or lock-out small content providers. This is a dangerous step.",2017-11-21 22:47:34,231,94,933104627595251714
"The FCC’s idea of Internet Freedom means freedom for providers to decide what the public can see and can do on the internet. This is not freedom for consumers, as #NetNeutraility envisioned. https://www.cardin.senate.gov/newsroom/press/release/cardin-calls-on-fcc-to-reject-so-called-internet-freedom-order-to-keep-the-internet-truly-open …",2017-11-21 22:43:54,736,503,933103704911335425
"Friends, #OpenEnrollment is happening now, and this year you only have until December 15 to compare #healthcare plans for 2018, see what financial help you qualify for, and #GetCovered. Don't wait. http://www.healthcare.gov/get-coverage pic.twitter.com/kB5NR0bTc4",2017-11-19 18:00:03,71,89,932307498379264000
"Maryland, take note: our health insurance marketplace is open for enrollment - and changes to plans - right now. There are statewide sign-up events where you can ask questions and get help in person: https://sen.gov/M16O pic.twitter.com/yfxsjAsNy7",2017-11-19 17:15:01,83,86,932296162576515072
Small businesses support nearly half of all jobs in this country. They are the backbone of our economy. Let's show them our support by planning to #ShopSmall next weekend. #SmallBusinessSaturday,2017-11-18 16:50:01,75,30,931927485096136704
"#SmallBusinessSaturday is one week from today, so make your plans to #ShopSmall and #DineSmall now. Buying local makes a real difference, both for the families who own independent small businesses and for our state and local economy.",2017-11-18 16:30:01,74,33,931922454037061633
"At BWI to meet the inspirational entrepreneurs of the unique  LaunchPad program, designed to help new microbusinesses take off. #SmallBizpic.twitter.com/guxhUn3mUo",2017-11-17 19:36:58,34,13,931607110672179200
Joining military veterans & families for update on C3 program that helped them find good jobs. I salute their service & success stories.pic.twitter.com/nGPP2SGk3P,2017-11-17 18:32:43,25,8,931590944482316289
